Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/v1/auth/dev-token?unique=true,20,0,240.0,245.13413330000003,201.460625,301.73374999999993,245.0,0.3379821242252544,0.0,240,240,300,300,300,300,300,300,300,300,300
POST,harvest_auto,107,0,7,13.300864093457873,3.241209000002243,440.1098749999999,375.0,1.8082043646051111,0.0,7,9,10,10,13,22,58,62,440,440,440
GET,recipes_search,296,0,12,13.432825047297241,4.970750000000024,103.01512500000065,27283.0,5.002135438533765,0.0,12,14,16,17,20,25,32,63,100,100,100
GET,recommendations_make_now,100,0,6,11.716604129999839,2.6492500000045993,192.4559170000002,2.0,1.689910621126272,0.0,6,8,11,13,19,27,130,190,190,190,190
POST,studio_create_constraint,205,0,7,8.111613004878052,2.844916000000808,53.68137500000003,241.0,3.4643167733088576,0.0,7,8,9,10,11,13,19,35,54,54,54
POST,studio_create_session,205,0,8,9.859094068292688,3.5347909999998706,69.69870900000075,112.0,3.4643167733088576,0.0,8,11,12,12,14,16,25,42,70,70,70
POST,studio_generate,204,0,21,22.560136681372835,11.043250000000171,112.44754099999987,549.0,3.4474176670975947,0.0,21,24,26,28,30,33,38,55,110,110,110
GET,studio_summary,99,0,36,39.33488206060611,5.456790999999406,155.184332999994,143.3939393939394,1.6730115149150093,0.0,36,44,48,52,59,64,140,160,160,160,160
GET,studio_versions,204,0,12,12.772842088235242,7.0339580000009505,29.466041999995696,551.0,3.4474176670975947,0.0,12,13,15,16,17,18,20,21,29,29,29
,Aggregated,1440,0,11,18.235922009722234,2.6492500000045993,440.1098749999999,5855.523611111111,24.334712944218317,0.0,11,14,17,19,29,42,100,240,300,440,440
